Screen Resolution	Browser	OS	Traffic Source	Combination Id	Converted	Returning Visitor	User Language	Country
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Nepal
Medium	Chrome Mobile iOS	iOS	search_traffic	2	No	0	en-us	United States
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Other
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-us	Other
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Small	Mobile Safari	iOS	search_traffic	1	No	0	en-us	Other
Large	Chrome	Windows New	unknown	1	No	0	en-us	United Kingdom
Extra Small	Chrome Mobile iOS	iOS	search_traffic	1	No	0	en-sg	United Kingdom
Medium	Chrome Mobile iOS	iOS	search_traffic	2	No	0	en-us	Other
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Pakistan
Extra Large	Chrome	Windows New	unknown	1	No	0	fr-fr	Other
Extra Large	Chrome	Mac OS X	search_traffic	2	No	0	en-gb	Pakistan
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	Other
Extra Large	Safari	Mac OS X	search_traffic	1	No	0	en-ca	Canada
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	unknown	2	No	0	es	Spain
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	India
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Large	Firefox	Windows New	search_traffic	1	No	0	en-us	Other
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	Brazil
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-us	Pakistan
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-us	Indonesia
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en	India
Extra Small	Chrome Mobile	Android	unknown	1	No	0	en-us	India
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	Other
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-gb	Bangladesh
Extra Large	Chrome	Windows New	search_traffic	2	No	0	en-us	India
Extra Large	Chrome	Windows New	search_traffic	2	No	0	Other	Bulgaria
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-gb	United Kingdom
Extra Small	Chrome Mobile	Android	search_traffic	2	No	0	en-gb	India
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Chrome OS	search_traffic	1	No	0	en-us	United States
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	Lebanon
Extra Small	Mobile Safari	iOS	search_traffic	2	No	0	en-au	Germany
Extra Large	Chrome	Windows New	search_traffic	1	No	0	en-gb	India
Extra Small	Chrome Mobile	Android	search_traffic	1	No	0	en-us	India
Medium	Chromium	Linux	direct_traffic	1	No	0	en-us	United States
Extra Small	Chrome Mobile	Android	direct_traffic	2	No	0	en-us	United States
Extra Large	Safari	Mac OS X	search_traffic	2	No	0	en-gb	United Kingdom
Extra Large	Chrome	Mac OS X	unknown	2	No	0	en-gb	Australia
Extra Large	Chrome	Windows New	direct_traffic	2	No	0	en-us	United Kingdom
Extra Large	Chrome	Windows New	unknown	2	No	0	en-us	India
Extra Small	Chrome Mobile	Android	direct_traffic	1	No	0	en-us	United States
